date,headline,url,summary,year,month,day
2021-03-03 17:15:00,Καθήγητρια της ΑΣΚΤ ξεκίνησε απεργία πείνας για συμπαράσταση στον Κουφοντίνα,https://www.documentonews.gr/article/kathhghtria-ths-askt-xekinhse-apergia-peinas-gia-symparastash-ston-koyfontina/," Η Γεωργία Σάγρη, αναπληρώτρια καθηγήτρια της Ανωτάτης Σχολής Καλών Τεχνών… ",2021,03,03
2021-03-03 15:23:00,Επιτροπή αγώνα δικηγόρων: Η άρνηση ικανοποίησης του αιτήματος Κουφοντίνα αναδεικνύει την ύπαρξη πολιτικής απόφασης για τη θανάτωσή του,https://www.documentonews.gr/article/epitroph-agwna-dikhgorwn-h-arnhsh-ikanopoihshs-toy-aithmatos-koyfontina-anadeiknyei-thn-yparxh-politikhs-apofashs-gia-th-thanatwsh-toy/, Επιτροπή αγώνα δικηγόρων δημιούργησαν νομικοί που συγκεντρώθηκαν σήμερα Τετάρτη στον… ,2021,03,03
2021-03-03 13:56:00,Πετράκος: Να αποτρέψουμε τη προβοκάτσια σε βάρος της δημοκρατίας,https://www.documentonews.gr/article/petrakos-na-apotrepsoyme-th-probokatsia-se-baros-ths-dhmokratias/, Μετά από τα όσα έγραψε στον προσωπικό του λογαριασμό στο… ,2021,03,03
2021-03-03 13:54:00,Νέο κάλεσμα σε διαμαρτυρία για τον Δημήτρη Κουφοντίνα,https://www.documentonews.gr/article/neo-kalesma-se-diamartyria-gia-ton-dhmhtrh-koyfontina/, Ακόμη μια δυναμική κινητοποίηση για τον αγώνα που κάνει ο… ,2021,03,03
2021-03-03 08:35:00,Υπόθεση Κουφοντίνα: Αίτημα αναβολής έκτισης ποινής από Κούρτοβικ και Σοφό,https://www.documentonews.gr/article/ypothesh-koyfontina-aithma-anabolhs-ektishs-poinhs-apo-koyrtobik-kai-sofo/, Αίτημα αναβολής έκτισης ποινής του Δημήτρη Κουφοντίνα εξαιτίας κινδύνου θανάτου… ,2021,03,03
2021-02-03 18:58:00,Νέα μεγάλη συγκέντρωση για τον Δημήτρη Κουφοντίνα στο Σύνταγμα (Photos),https://www.documentonews.gr/article/nea-megalh-sygkentrwsh-gia-ton-dhmhtrh-koyfontina-sto-syntagma-photos/, Πλήθος κόσμου μετέβη ξανά στην πλατεία Συντάγματος για να δείξει… ,2021,02,03
2021-02-03 16:12:00,ΚΚΕ: Το μπαράζ λογοκρισίας διαψεύδει τις μεγαλοστομίες περί «ελευθερίας των social media»,https://www.documentonews.gr/article/kke-to-mparaz-logokrisias-diapseydei-tis-megalostomies-peri-eleytherias-twn-social-media/," «Τα τελευταία 24ωρα, με επίκεντρο την απεργία πείνας του Δ.… ",2021,02,03
2021-02-03 15:48:00,«Μύλος» στην Ένωση Δικαστών και Εισαγγελέων για το θέμα Κουφοντίνα,https://www.documentonews.gr/article/mylos-sthn-enwsh-dikastwn-kai-eisaggelewn-gia-to-thema-koyfontina/, Συνεχίζονται οι αντιδράσεις στους κόλπους της Ένωσης Δικαστών και Εισαγγελέων… ,2021,02,03
2021-02-03 15:35:00,Υπόθεση Κουφοντίνα: Τα έγγραφα που αποδεικνύουν τα ψέματα της Σοφίας Νικολάου,https://www.documentonews.gr/article/ypothesh-koyfontina-ta-eggrafa-poy-apodeiknyoyn-ta-psemata-ths-sofias-nikolaoy/, Τα έγγραφα τα οποία επικαλείται η Γενική Γραμματέας Αντεγκληματικής Πολιτικής… ,2021,02,03
2021-02-03 14:52:00,Το Instagram λογοκρίνει ανάρτηση του Documento για τον Κουφοντίνα,https://www.documentonews.gr/article/to-instagram-logokrinei-anarthsh-toy-documento-gia-ton-koyfontina/, Νωρίς σήμερα το πρωί αναρτήθηκε στην επίσημη σελίδα του Documento… ,2021,02,03
2021-02-03 14:40:00,Η άθλια δήλωση Μπαλάσκα για το «σκήνωμα» του Κουφοντίνα (Video),https://www.documentonews.gr/article/h-athlia-dhlwsh-mpalaska-gia-to-skhnwma-toy-koyfontina-video/, Κάθε σεβασμό στην ανθρώπινη ύπαρξη και στα ανθρώπινα δικαιώματα καταπάτησε… ,2021,02,03
2021-02-03 13:17:00,Νέα επίθεση των «δεξιών» της ΝΔ στον Μητσοτάκη για την υπόθεση Κουφοντίνα,https://www.documentonews.gr/article/nea-epithesh-twn-dexiwn-ths-nd-ston-mhtsotakh-gia-thn-ypothesh-koyfontina/, Με ευθεία επίθεση στον Κυριάκο Μητσοτάκη συνεχίζει η «δεξιά» πτέρυγα… ,2021,02,03
2021-02-03 10:43:00,«Τουρλού» Πρετεντέρη και «είναι όλοι ίδιοι»,https://www.documentonews.gr/article/toyrloy-pretenterh-kai-einai-oloi-idioi/, Ισοπεδωτικός και με παρωπίδες για να στηρίξει για άλλη μία… ,2021,02,03
2021-02-03 09:12:00,Liberation: Θα γίνει η Ελλάδα η πρώτη χώρα της Ε.Ε. με νεκρό από απεργία πείνας;,https://www.documentonews.gr/article/liberation-oa-ginei-h-ellada-h-prwth-xwra-ths-ee-me-nekro-apo-apergia-peinas/, Το ερώτημα εάν η Ελλάδα θα γίνει η πρώτη χώρα… ,2021,02,03
2021-02-03 07:54:00,Κούρτοβικ: Ένα βήμα πριν το κώμα ο Κουφοντίνας – Ψεύδεται η Νικολάου,https://www.documentonews.gr/article/koyrtobik-ena-bhma-prin-to-kwma-o-koyfontinas-pseydetai-h-nikolaoy/," «Ο Δημήτρης Κουφοντίνας είναι λίγο πριν το κώμα, βρίσκεται στα… ",2021,02,03
2021-02-03 06:00:00,Κυβέρνηση σε ρόλο δήμιου και συκοφάντη,https://www.documentonews.gr/article/bernhsh-se-rolo-dhmioy-kai-sykofanth/, Οδηγούν στη «θανατική ποινή» τον ισοβίτη Δημήτρη Κουφοντίνα και συκοφαντούν… ,2021,02,03
2021-01-03 20:26:00,Καταπέλτης κατά Νικολάου η Κούρτοβικ: Ψεύδεται ακόμα μία φορά,https://www.documentonews.gr/article/katapelths-kata-nikolaoy-h-koyrtobik-pseydetai-akoma-mia-fora/," Η συνήγορος του Δημήτρη Κουφοντίνα, Ιωάννα Κούρτοβικ, απαντά στη Σοφία… ",2021,01,03
2021-01-03 19:28:00,Νέες συγκεντρώσεις αλληλεγγύης στον Δημήτρη Κουφοντίνα σε Αθήνα και Θεσσαλονίκη,https://www.documentonews.gr/article/nees-sygkentrwseis-allhleggyhs-ston-dhmhtrh-koyfontina-se-athhna-kai-oessalonikh/," Nέα συγκέντρωση αλληλεγγύης στον απεργό πείνας και δίψας, Δημήτρη Κουφοντίνα… ",2021,01,03
2021-01-03 17:07:00,Λάσπη από το συγκρότημα Μαρινάκη στον Κουφοντίνα,https://www.documentonews.gr/article/lasph-apo-to-sygkrothma-marinakh-ston-koyfontina/, Σε μία προσπάθεια αποδόμησης του αιτήματος του Δημήτρη Κουφοντίνα επιδόθηκε… ,2021,01,03
2021-01-03 15:03:00,Κλειστός ο σταθμός μετρό «ΣΥΝΤΑΓΜΑ»,https://www.documentonews.gr/article/kleistos-o-stathmos-metro-syntagma/, Με εντολή της Ελληνικής Αστυνομίας έκλεισε ο σταθμός του Μετρό… ,2021,01,03
2021-01-03 14:30:00,Κυβέρνηση σε ρόλο δήμιου και συκοφάντη,https://www.documentonews.gr/article/kybernhsh-se-rolo-dhmioy-kai-sykofanth/, Οδηγούν στη «θανατική ποινή» τον ισοβίτη Δημήτρη Κουφοντίνα και συκοφαντούν… ,2021,01,03
2021-01-03 11:44:00,Διαμαρτυρία 41 δικαστών για την ανακοίνωση της Ένωσης Δικαστών και Εισαγγελέων για Κουφοντίνα,https://www.documentonews.gr/article/diamartyria-41-dikastwn-gia-thn-anakoinwsh-ths-enwshs-dikastwn-kai-eisaggelewn-gia-koyfontina/, Στη γραμμή Ντογιάκου τάσσονται 41 δικαστές σε ότι αφορά την… ,2021,01,03
2021-01-03 10:30:00,Ντογιάκος: Παραιτήθηκε από την Ένωση Δικαστών και Εισαγγελέων αλλά δεν ήταν μέλος της,https://www.documentonews.gr/article/ntogiakos-paraiththhke-apo-thn-enwsh-dikastwn-kai-eisaggelewn-alla-den-htan-melos/," Πριν από λίγες μέρες ο αντεισαγγελέας του Αρείου Πάγου, Ισίδωρος… ",2021,01,03
