date,headline,url,summary,year,month,day
2021-01-24 09:02:00+00:00, Αγροτικές φυλακές Κασσαβέτειας: Εδώ «έμενε» ο Κουφοντίνας - Δείτε φωτογραφίες ,https://www.protothema.gr/greece/article/1087781/agrotikes-fulakes-kassaveteias-edo-emene-o-koufodinas-deite-fotografies/,"                     Ο αρχιεκτελεστής της 17Ν ξεκίνησε απεργία πείνας στις 8 Ιανουαρίου, με αίτημα να μεταφερθεί στον Κορυδαλλό - Οι αγροτικές φυλακές της χώρας διαθέτουν τα συγκεκριμένα καταλύματα για όλους τους κρατουμένους, οι οποίοι ζουν σε ενα καθεστώς ημιελευθερίας και εργασίας ",2021,01,24
2021-01-23 08:01:00+00:00," Θεσσαλονίκη: «Στο όνομα» του Κουφοντίνα, αναρχικοί επιτέθηκαν στο σπίτι δικαστικού  ",https://www.protothema.gr/greece/article/1087566/thessaloniki-anarhikoi-epitethikan-sto-spiti-dikastikou/,                     Την ευθύνη αναλαμβάνει η αναρχική ομάδα Terra Incognita με σχετική ανακοίνωσή της σε ιστοσελίδα αντιεξουσιαστών                 ,2021,01,23
2021-01-22 15:56:00+00:00,  Μηταφίδης: Καταδικάζουμε τα εγκλήματα του Κουφοντίνα - Ο σωφρονισμός δεν πρέπει να έχει εκδικητικό χαρακτήρα ,https://www.protothema.gr/politics/article/1087447/mitafidis-katadikazoume-ta-eglimata-tou-koufodina-o-sofronismos-den-prepei-na-ehei-ekdikitiko-haraktira/,"  «Ο Κουφοντίνας θα έπρεπε να έχει ζητήσει συγγνώμη για όσα έκανε, όπως είχε εντός εισαγωγικών τη λεβεντιά να πάει να παραδοθεί», τόνισε ο πρώην βουλευτής του ΣΥΡΙΖΑ ",2021,01,22
2021-01-22 11:04:00+00:00, Επανήλθε ο Λάμπρου για Κουφοντίνα: «Φυσικά δεν θα βγάλουμε τον σκασμό» ,https://www.protothema.gr/politics/article/1087318/epanilthe-o-labrou-gia-koufodina-fusika-den-tha-vgaloume-ton-skasmo/,                     Τι αναφέρει στην ανάρτησή του και πώς απαντά στους επικριτές                 ,2021,01,22
2021-01-22 04:26:00+00:00," Δοκιμάζουν τον ΣΥΡΙΖΑ τα «δικαιώματα Κουφοντίνα»: Αιχμές από τους «προεδρικούς», βολές από στελέχη της ΝΔ ",https://www.protothema.gr/politics/article/1087164/dokimazoun-ton-suriza-ta-dikaiomata-koufodina-aihmes-apo-tous-proedrikous-voles-apo-stelehi-tis-nd/,                     Πλέον δημόσια στελέχη της «προεδρικής» φρουράς του ΣΥΡΙΖΑ αφήνουν αιχμές απέναντι στους συντρόφους τους                 ,2021,01,22
2021-01-21 19:02:00+00:00, Χρυσοχοΐδης: Δεν θα διαλύονται νόμιμες διαδηλώσεις από πέντε προβοκάτορες ,https://www.protothema.gr/politics/article/1087113/hrusohoidis-den-tha-dialuodai-sugedroseis-apo-pede-provokatores/,                     Ο νέος νόμος θα προστατεύει το δικαίωμα όσων θέλουν να διαδηλώσουν αλλά και την κοινωνική και οικονομική ζωή της πόλης υποστήριξε ο υπουργός Προστασίας του Πολίτη                 ,2021,01,21
2021-01-21 14:10:00+00:00, Κυρίτσης: «Δεν προκαλεί πρόβλημα στο ΣΥΡΙΖΑ το κείμενό μας» υπέρ Κουφοντίνα ,https://www.protothema.gr/politics/article/1086993/kuritsis-den-prokalei-provlima-sto-suriza-to-keimeno-mas-uper-koufodina/,"                     Καταδίκη μέσα στη καταδίκη δε τιμάει τη δικαιοσύνη, ανέφερε ο πρώην βουλευτής του ΣΥΡΙΖΑ                 ",2021,01,21
2021-01-21 09:39:00+00:00," 68 πανεπιστημιακοί στο πλευρό του Κουφοντίνα - Ανάμεσά τους Κουράκης, Πορτάλιου και άλλα μέλη του ΣΥΡΙΖΑ ",https://www.protothema.gr/greece/article/1086888/dimitris-koufodinas-68-panepistimiakoi-sto-pleuro-tou-anamesa-tous-kourakis-portaliou-kai-alla-meli-tou-suriza/,                     Οι πανεπιστημιακοί υπογράφουν κείμενο και ζητούν την άμεση ικανοποίηση των αιτημάτων του Δημήτρη Κουφοντίνα                 ,2021,01,21
2021-01-21 09:30:00+00:00," Γιώργος Τσίπρας (ΘΕΜΑ 104,6): «Δεν έπρεπε να υπάρχουν 15 υπογραφές» για τον Κουφοντίνα ",https://www.protothema.gr/politics/article/1086886/giorgos-tsipras-thema-1046-den-eprepe-na-uparhoun-15-upografes-gia-ton-koufodina/," «Zούμε σε μια κατάσταση εξαιρετικά δύσκολη, ο κόσμος μέσα σε αυτές τις συνθήκες θέλει πολιτικές όχι κείμενα επί κειμένων και ομαδοποιήσεις» τόνισε ο βουλευτής του  ΣΥΡΙΖΑ                 ",2021,01,21
2021-01-21 04:23:00+00:00," ΣΥΡΙΖΑ: Στα σχοινιά για τον «σεβασμό στα δικαιώματα» Κουφοντίνα – Αποστάσεις της ηγεσίας, αντιδράσεις κομμάτων και πολιτών ",https://www.protothema.gr/politics/article/1086786/suriza-sta-shoinia-gia-ton-sevasmo-sta-dikaiomata-koufodina-apostaseis-tis-igesias-adidraseis-kommaton-kai-politon/,"                     Σφοδρή αντιπαράθεση, με τη Νέα Δημοκρατία να ζητά να τοποθετηθεί επί του θέματος ο πρόεδρος του ΣΥΡΙΖΑ, Αλέξης Τσίπρας                 ",2021,01,21
2021-01-20 18:56:57+00:00," Νέες εξηγήσεις Λάμπρου για τα «δικαιώματα» Κουφοντίνα: Υπεράσπιση κράτους δικαίου, όχι προσώπου ",https://www.protothema.gr/politics/article/1086718/nees-exigiseis-labrou-gia-ta-dikaiomata-koufodina-uperaspisi-kratous-dikaiou-ohi-prosopou/,                     Το μέλος του Πολιτικού Συμβουλίου του ΣΥΡΙΖΑ προχωράει σε διευκρινίσεις για τη δήλωση που συνυπέγραψε μαζί με άλλα 15 στελέχη  αναφορικά με τον Δημήτρη Κουφοντίνα                 ,2021,01,20
2021-01-20 16:17:00+00:00, ΣΥΡΙΖΑ: «Πάγος» στα 17 στελέχη του  για τη δήλωση υπέρ «δικαιωμάτων» Κουφοντίνα ,https://www.protothema.gr/politics/article/1086666/suriza-gia-ti-dilosi-uper-dikaiomaton-koufodina-i-tromokratia-einai-apolutos-katadikastea/,"                     Ο ΣΥΡΙΖΑ  υπογραμμίζει ότι «ο νόμος ισχύει για όλους»  , μετά την ανακοίνωση της ΝΔ που κατηγόρησε στελέχη της Κουμουνδούρου για υπεράσπιση του Δημήτρη Κουφοντίνα                 ",2021,01,20
2021-01-20 12:05:00+00:00, Ξανά στο νοσοκομείο υπό αυστηρά μέτρα ο Δημήτρης Κουφοντίνας ,https://www.protothema.gr/greece/article/1086552/koufodinas-xana-sto-nosokomeio-upo-austira-metra/,"                     Το Σάββατο 16 Ιανουαρίου είχε μεταφερθεί και πάλι στο νοσοκομείο, ωστόσο, είχε αρνηθεί οποιαδήποτε παροχή βοήθειας                 ",2021,01,20
2021-01-20 09:48:00+00:00," 15 στελέχη, η Νεολαία του ΣΥΡΙΖΑ και δικηγόροι της Αριστεράς… συνιστούν «σεβασμό στα δικαιώματα» Κουφοντίνα  ",https://www.protothema.gr/politics/article/1086489/15-stelehi-i-neolaia-tou-suriza-kai-dikigoroi-tis-aristeras-sunistoun-sevasmo-sta-dikaiomata-koufodina/,                     Σάλος στα ελληνικά μέσα κοινωνικής δικτύωσης                 ,2021,01,20
2021-01-20 09:34:00+00:00," Πλεύρης (ΘΕΜΑ 104,6): Προκλητική η στάση των βουλευτών του ΣΥΡΙΖΑ στο θέμα Κουφοντίνα  ",https://www.protothema.gr/greece/article/1086487/pleuris-thema-1046-proklitiki-i-stasi-ton-vouleuton-tou-suriza-sto-thema-koufodina/," Ο Κοινοβουλευτικός Εκπρόσωπος και βουλευτής της ΝΔ, κατηγόρησε τον ΣΥΡΙΖΑ ότι επί διακυβέρνησής του, έφτιαξε φωτογραφικό θεσμικό πλαίσιο, ώστε να γίνει η μεταγωγή του σε αγροτικές φυλακές  ",2021,01,20
2021-01-19 21:20:00+00:00, Δεκαπέντε στελέχη του ΣΥΡΙΖΑ υπογράφουν κείμενο υπέρ του Κουφοντίνα ,https://www.protothema.gr/greece/article/1086345/dekapede-stelehi-tou-suriza-upografoun-keimeno-uper-tou-koufodina/,"                     Ανάμεσα στους υπογράφοντες η πρώην βουλευτής Αννέτα Καββαδία, ο Πάνος Λάμπρου, ο Γιώργος Κυρίτσης - Κατηγορούν την κυβέρνηση ότι με την μεταφορά του στις φυλακές Δομοκού παραβιάζονται τα δικαιώματά του και οι νόμοι                 ",2021,01,19
2021-01-19 15:51:00+00:00, Συγκέντρωση για τον Κουφοντίνα στα Προπύλαια ,https://www.protothema.gr/greece/article/1086229/sugedrosi-gia-ton-dimitri-koufodina-sta-propulaia/, Στην περιοχή βρίσκονται περίπου 20 διαδηλωτές ενώ το σημείο είναι περικυκλωμένο από ισχυρές αστυνομικές δυνάμεις - Κλειστό το μετρό «Πενεπιστήμιο» ,2021,01,19
